Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-06-23,26.9,26.92,25.65,26.6,270200,0,0
2014-06-24,26.55,26.98,25.78,26.23,189700,0,0
2014-06-25,25.97,26.99,25.6,26.75,211600,0,0
2014-06-26,26.88,26.99,26.26,26.78,225400,0,0
2014-06-27,26.54,27.98,26.47,27.5,1946800,0,0
2014-06-30,27.7,28.48,25.8,26.14,315600,0,0
2014-07-01,26.29,28.5,26.28,27.9,435600,0,0
2014-07-02,27.73,28.31,26.92,27.22,187500,0,0
2014-07-03,27.35,27.74,26.8,27.26,66200,0,0
2014-07-07,27.99,27.99,26.02,26.71,267200,0,0
2014-07-08,26.68,26.7,24.57,25.05,228100,0,0
2014-07-09,25.1,25.99,24.43,25.13,231500,0,0
2014-07-10,24.02,25.25,23.58,24.42,197500,0,0
2014-07-11,24.34,25.93,24.16,24.51,110400,0,0
2014-07-14,24.97,24.97,24.14,24.58,69000,0,0
2014-07-15,24.5,24.62,23.21,24.31,232100,0,0
2014-07-16,24.45,24.45,23.16,23.48,168000,0,0
2014-07-17,23.05,24.52,22.9,23.19,243500,0,0
2014-07-18,23.16,23.89,22.7,23.82,150000,0,0
2014-07-21,23.55,24.9,22.86,24.53,104800,0,0
2014-07-22,25.51,27.17,25.04,26.92,254100,0,0
2014-07-23,27.22,28.45,27.21,28.35,317000,0,0
2014-07-24,28.61,29.1,27.55,27.9,232400,0,0
2014-07-25,27.62,28.13,27.18,27.8,248600,0,0
2014-07-28,27.72,27.96,26.64,27.27,301700,0,0
2014-07-29,27.27,28.57,26.94,27.97,124700,0,0
2014-07-30,28.33,29.95,27.56,28.99,199700,0,0
2014-07-31,28.28,28.35,26.34,26.42,171400,0,0
2014-08-01,26.89,28.32,26.13,27.74,265600,0,0
2014-08-04,27.98,28.99,26.02,28.88,466300,0,0
2014-08-05,28.52,30.48,28.1,30.27,434800,0,0
2014-08-06,29.74,30.7,29.55,30.4,263300,0,0
2014-08-07,30.1,30.1,27.14,27.38,361600,0,0
2014-08-08,27.25,27.25,26.09,26.61,195300,0,0
2014-08-11,26.78,28.26,26.56,27.96,299200,0,0
2014-08-12,27.7,28.86,27.57,28.6,284700,0,0
2014-08-13,28.95,30.49,28.77,30.46,250900,0,0
2014-08-14,30.3,32.32,30.3,32.22,306700,0,0
2014-08-15,32.57,33.74,32.57,33.42,523400,0,0
2014-08-18,34.25,34.35,33.27,33.87,446900,0,0
2014-08-19,33.93,33.96,32.29,32.57,214100,0,0
2014-08-20,32.36,32.36,30.94,31.01,179000,0,0
2014-08-21,31.06,31.97,29.52,29.79,186400,0,0
2014-08-22,29.68,30.17,29.14,30.0,181200,0,0
2014-08-25,30.51,32.26,30.23,31.77,194200,0,0
2014-08-26,31.69,32.55,31.68,32.33,251600,0,0
2014-08-27,32.45,33.33,31.18,32.0,251800,0,0
2014-08-28,31.54,32.19,29.7,31.33,308500,0,0
2014-08-29,31.36,31.78,30.1,31.66,221400,0,0
2014-09-02,32.27,32.27,30.61,31.02,134400,0,0
2014-09-03,31.19,31.89,30.24,30.54,190800,0,0
2014-09-04,30.62,30.78,29.59,29.77,195500,0,0
2014-09-05,29.55,31.24,29.18,30.96,211600,0,0
2014-09-08,30.97,33.98,30.97,33.92,451200,0,0
2014-09-09,33.7,36.17,33.58,33.74,585300,0,0
2014-09-10,33.54,34.03,32.7,33.89,263800,0,0
2014-09-11,33.37,34.11,32.21,33.86,246800,0,0
2014-09-12,33.66,33.93,32.44,32.72,183300,0,0
2014-09-15,36.5,37.96,34.64,36.48,656800,0,0
2014-09-16,35.91,36.49,35.05,36.21,369400,0,0
2014-09-17,36.0,38.55,36.0,38.38,338200,0,0
2014-09-18,38.58,40.67,38.21,40.1,474400,0,0
2014-09-19,40.5,41.45,39.36,40.93,690700,0,0
2014-09-22,41.02,41.72,39.11,41.1,281400,0,0
2014-09-23,41.77,41.9,39.7,40.45,281600,0,0
2014-09-24,41.26,43.98,40.76,43.69,365900,0,0
2014-09-25,43.5,46.28,43.5,44.47,852000,0,0
2014-09-26,44.54,47.2,43.68,46.34,419600,0,0
2014-09-29,46.0,47.0,45.1,45.62,444000,0,0
2014-09-30,45.35,45.35,43.8,44.01,412900,0,0
2014-10-01,43.97,44.27,41.56,42.74,407100,0,0
2014-10-02,42.52,45.21,42.04,45.18,262900,0,0
2014-10-03,45.85,46.86,45.35,45.83,268300,0,0
2014-10-06,43.64,44.01,40.42,41.11,508400,0,0
2014-10-07,41.0,42.02,39.93,40.43,291600,0,0
2014-10-08,39.65,40.55,37.66,39.42,526800,0,0
2014-10-09,38.58,38.58,35.41,36.59,570000,0,0
2014-10-10,36.15,36.75,34.15,34.59,1622100,0,0
2014-10-13,34.43,36.84,33.98,35.59,602000,0,0
2014-10-14,36.05,38.0,34.5,36.9,643800,0,0
2014-10-15,33.82,38.47,33.02,37.07,573900,0,0
2014-10-16,36.37,37.9,35.57,37.55,521500,0,0
2014-10-17,38.06,38.12,36.93,37.03,476500,0,0
2014-10-20,36.84,37.96,36.83,37.56,293600,0,0
2014-10-21,37.97,38.03,36.72,37.9,365400,0,0
2014-10-22,37.99,38.38,36.57,36.97,282000,0,0
2014-10-23,37.74,38.56,37.05,37.96,608400,0,0
2014-10-24,37.84,38.32,35.59,36.45,646500,0,0
2014-10-27,36.67,37.69,35.96,37.63,299600,0,0
2014-10-28,37.9,41.74,37.6,41.3,509100,0,0
2014-10-29,41.33,41.49,38.78,39.63,435200,0,0
2014-10-30,39.39,42.77,39.32,40.73,465600,0,0
2014-10-31,41.98,42.0,39.97,40.87,518000,0,0
2014-11-03,40.87,42.01,40.54,41.32,329500,0,0
2014-11-04,41.11,41.85,40.22,40.82,224700,0,0
2014-11-05,41.36,41.36,38.61,38.97,283500,0,0
2014-11-06,39.29,42.24,38.99,42.17,422600,0,0
2014-11-07,41.9,41.9,39.78,40.24,285300,0,0
2014-11-10,40.06,41.68,39.68,41.67,319800,0,0
2014-11-11,41.23,42.1,40.51,40.72,318100,0,0
2014-11-12,40.27,41.98,40.08,41.32,226000,0,0
2014-11-13,41.21,42.0,40.5,41.19,381300,0,0
2014-11-14,40.96,41.05,38.68,38.89,200000,0,0
2014-11-17,39.03,40.47,38.5,39.19,167100,0,0
2014-11-18,39.19,40.75,38.94,40.06,266600,0,0
2014-11-19,40.32,40.43,38.62,38.87,240100,0,0
2014-11-20,38.93,40.17,38.78,39.44,101900,0,0
2014-11-21,40.17,40.25,38.97,39.77,187800,0,0
2014-11-24,42.0,44.66,39.92,44.41,633700,0,0
2014-11-25,44.66,45.99,42.16,44.61,600100,0,0
2014-11-26,44.56,45.36,43.92,44.82,255600,0,0
2014-11-28,45.21,46.59,44.56,44.75,131100,0,0
2014-12-01,44.78,45.18,43.05,43.22,207800,0,0
2014-12-02,43.1,48.67,42.51,47.78,548600,0,0
2014-12-03,48.51,48.64,45.7,46.9,244700,0,0
2014-12-04,47.75,50.3,46.42,46.91,768100,0,0
2014-12-05,47.2,49.78,47.2,49.5,430900,0,0
2014-12-08,49.64,53.22,49.64,52.29,492400,0,0
2014-12-09,52.25,56.98,50.41,55.0,1003800,0,0
2014-12-10,55.01,55.85,53.02,53.33,586700,0,0
2014-12-11,54.01,56.46,53.87,55.33,558300,0,0
2014-12-12,54.6,56.84,53.77,55.87,363900,0,0
2014-12-15,56.12,56.99,50.15,50.45,600900,0,0
2014-12-16,50.0,50.76,48.39,48.42,462900,0,0
2014-12-17,48.07,51.27,48.07,50.88,398300,0,0
2014-12-18,54.7,54.99,52.6,54.96,510300,0,0
2014-12-19,57.03,57.5,54.88,56.69,1629300,0,0
2014-12-22,55.74,57.35,54.7,55.25,349600,0,0
2014-12-23,56.59,56.59,50.5,50.9,638500,0,0
2014-12-24,50.86,53.29,50.84,51.66,210900,0,0
2014-12-26,51.67,54.04,51.4,53.37,155400,0,0
2014-12-29,53.07,54.49,52.32,53.62,127800,0,0
2014-12-30,53.59,54.5,52.58,52.8,185500,0,0
2014-12-31,52.84,54.19,51.61,51.77,279000,0,0
2015-01-02,52.53,52.81,50.03,51.0,280400,0,0
2015-01-05,50.59,53.96,50.17,52.68,352400,0,0
2015-01-06,53.19,54.15,49.93,51.07,275100,0,0
2015-01-07,51.9,53.89,51.31,53.21,276500,0,0
2015-01-08,53.95,56.56,53.09,54.18,290800,0,0
2015-01-09,54.45,54.45,51.81,53.62,177200,0,0
2015-01-12,54.0,54.18,52.52,53.7,201900,0,0
2015-01-13,54.0,59.07,53.75,57.33,443900,0,0
2015-01-14,56.61,58.99,56.25,57.46,248700,0,0
2015-01-15,57.46,58.73,56.0,57.62,531600,0,0
2015-01-16,57.32,58.84,56.24,58.6,287100,0,0
2015-01-20,59.13,61.17,58.25,59.88,631200,0,0
2015-01-21,59.68,60.39,57.59,57.92,341800,0,0
2015-01-22,58.46,58.8,53.0,55.54,858200,0,0
2015-01-23,56.65,57.54,54.87,55.53,326800,0,0
2015-01-26,55.23,56.41,53.71,55.93,329800,0,0
2015-01-27,55.03,56.03,53.81,54.96,210800,0,0
2015-01-28,55.34,56.05,52.73,53.99,257900,0,0
2015-01-29,54.21,55.65,53.54,55.43,234900,0,0
2015-01-30,55.14,56.58,54.29,54.91,248800,0,0
2015-02-02,55.33,55.62,52.22,53.69,593700,0,0
2015-02-03,53.7,54.27,48.35,50.22,372200,0,0
2015-02-04,50.01,50.22,46.92,48.15,438500,0,0
2015-02-05,48.56,52.0,48.31,51.71,223500,0,0
2015-02-06,51.49,53.6,50.12,50.56,209000,0,0
2015-02-09,50.23,51.15,48.69,49.9,161200,0,0
2015-02-10,50.29,52.17,49.71,51.8,166700,0,0
2015-02-11,51.5,53.83,51.16,51.78,133500,0,0
2015-02-12,52.54,54.39,51.7,54.11,195900,0,0
2015-02-13,54.25,55.29,52.44,53.37,142500,0,0
2015-02-17,53.65,55.17,53.1,53.83,274300,0,0
2015-02-18,53.85,55.32,51.82,55.3,289300,0,0
2015-02-19,55.77,56.59,54.49,55.31,227400,0,0
2015-02-20,55.45,55.8,54.53,55.19,198000,0,0
2015-02-23,54.89,68.44,54.67,64.96,2357800,0,0
