sector,stock_name,avg_yearly_return,variance_sum
Consumer-Defensive,AACG,0.25925925925925924,0.0
Industrials,AAL,0.37432354713050847,0.4804492487761937
Financial-Services,AAMC,1.818870663604496,12.9619927955642
Financial-Services,AAME,0.08903148080515615,0.0944603789663492
Technology,AAOI,0.13624184760935962,0.19241745445593114
Technology,AAPL,0.29893699911592153,0.08196275406450244
Consumer-Cyclical,AAP,0.19071138007165406,0.1010580728383574
Real-Estate,AAT,0.1241062353067987,0.021524088665230593
Industrials,AAWW,0.0010382071010057558,0.07025578742805165
Industrials,AAXN,0.3768379654731146,0.1325329991091726
Basic-Materials,AA,0.02811356448651302,0.1770923720181922
Healthcare,ABBV,0.2183969082353365,0.06478511640084861
Industrials,ABB,0.07725712547213182,0.04887047722066049
Healthcare,ABEO,-0.06802997940415473,0.6628330639039791
Consumer-Defensive,ABEV,0.19873986617772926,0.18766381377610014
Consumer-Cyclical,ABG,0.2822893487054806,0.08812989550394942
Healthcare,ABMD,0.46348117134162437,0.29486320418921574
Industrials,ABM,0.10558351038746643,0.05194647647306996
Real-Estate,ABR-PA,0.09800403138095873,0.0006517180179042312
Real-Estate,ABR-PB,0.0938170350249002,0.0002444067732969811
Real-Estate,ABR-PC,0.08937719120056019,0.00033294863237184294
Real-Estate,ABR,0.40478079566015596,0.3842938869718202
Financial-Services,ABTX,0.1362359118360455,0.0557583946954493
Healthcare,ABT,0.18001095256549865,0.029601283723561293
Healthcare,ABUS,0.2349131997823135,0.7348451958247006
Healthcare,ACAD,0.875206839605507,2.3879608368552416
Industrials,ACAMU,0.021063189568706023,0.0
Industrials,ACAM,0.024615384615384636,0.0
Industrials,ACA,0.30455338161301737,0.10828945888205235
Financial-Services,ACBI,0.0697930862059715,0.017997804718155094
Healthcare,ACB,2.3562348888225992,32.62279110194167
Industrials,ACCO,0.07891795118175056,0.13585054483478723
Real-Estate,ACC,0.1087097030609733,0.03779971032550183
Consumer-Cyclical,ACEL,0.23152709359605908,0.0
